patcnty1,dsch_yr,Sex,Discharges,AnnotationCode,AnnotationDesc
Colusa,2018,Male,1076,,
Colusa,2019,Female,1317,,
Colusa,2019,Male,978,,
Colusa,2020,Female,1244,,
Colusa,2020,Male,928,,
Colusa,2021,Female,1292,,
Colusa,2021,Male,995,,
Colusa,2022,Female,1200,,
Colusa,2022,Male,907,,
Colusa,2022,"Unknown, Invalid",1,,
Colusa,2023,Female,1199,,
Colusa,2023,Male,1104,,
Colusa,2023,"Unknown, Invalid",1,,
Contra Costa,2012,Female,59791,,
Contra Costa,2012,Male,42740,,
Contra Costa,2012,"Other, Unknown, Invalid",2,,
Contra Costa,2013,Female,58153,,
Contra Costa,2013,Male,41755,,
Contra Costa,2013,"Other, Unknown, Invalid",2,,
Contra Costa,2014,Female,57350,,
Contra Costa,2014,Male,41257,,
Contra Costa,2014,"Other, Unknown, Invalid",4,,
Contra Costa,2015,Female,58935,,
Contra Costa,2015,Male,43306,,
Contra Costa,2015,"Other, Unknown, Invalid",6,,
Contra Costa,2016,Female,57143,,
Contra Costa,2016,Male,41589,,
Contra Costa,2016,"Other, Unknown, Invalid",15,,
Contra Costa,2017,Female,57226,,
Contra Costa,2017,Male,42452,,
Contra Costa,2017,"Unknown, Invalid",4,,
Contra Costa,2018,Female,55785,,
Contra Costa,2018,Male,42174,,
Contra Costa,2018,"Unknown, Invalid",5,,
Contra Costa,2019,Female,55233,,
Contra Costa,2019,Male,41651,,
Contra Costa,2019,"Unknown, Invalid",2,,
Contra Costa,2020,Female,50187,,
Contra Costa,2020,Male,38168,,
Contra Costa,2020,"Unknown, Invalid",2,,
Contra Costa,2021,Female,52876,,
Contra Costa,2021,Male,40251,,
Contra Costa,2021,"Unknown, Invalid",12,,
Contra Costa,2022,Female,52889,,
Contra Costa,2022,Male,40636,,
Contra Costa,2022,"Unknown, Invalid",18,,
Contra Costa,2023,Female,53669,,
Contra Costa,2023,Male,42108,,
Contra Costa,2023,"Unknown, Invalid",7,,
Del Norte,2012,Female,1426,,
Del Norte,2012,Male,1037,,
Del Norte,2013,Female,1377,,
Del Norte,2013,Male,1094,,
Del Norte,2014,Female,1380,,
Del Norte,2014,Male,1067,,
Del Norte,2015,Female,1278,,
Del Norte,2015,Male,965,,
Del Norte,2016,Female,1353,,
Del Norte,2016,Male,1041,,
Del Norte,2017,Female,1360,,
Del Norte,2017,Male,1096,,
Del Norte,2018,Female,1421,,
Del Norte,2018,Male,1102,,
Del Norte,2019,Female,1423,,
Del Norte,2019,Male,1169,,
Del Norte,2020,Female,1230,,
Del Norte,2020,Male,1088,,
Del Norte,2021,Female,1226,,
Del Norte,2021,Male,1059,,
Del Norte,2022,Female,1378,,
Del Norte,2022,Male,1144,,
Del Norte,2023,Female,1352,,
Del Norte,2023,Male,1252,,
El Dorado,2012,Female,9187,,
El Dorado,2012,Male,7198,,
El Dorado,2012,"Other, Unknown, Invalid",1,,
El Dorado,2013,Female,9267,,
El Dorado,2013,Male,7306,,
El Dorado,2013,"Other, Unknown, Invalid",3,,
El Dorado,2014,Female,9085,,
El Dorado,2014,Male,7188,,
El Dorado,2014,"Other, Unknown, Invalid",2,,
El Dorado,2015,Female,9081,,
El Dorado,2015,Male,7333,,
El Dorado,2015,"Other, Unknown, Invalid",1,,
El Dorado,2016,Female,9405,,
El Dorado,2016,Male,7839,,
El Dorado,2016,"Other, Unknown, Invalid",1,,
El Dorado,2017,Female,9454,,
El Dorado,2017,Male,7828,,
El Dorado,2018,Female,9669,,
El Dorado,2018,Male,7758,,
El Dorado,2019,Female,9353,,
El Dorado,2019,Male,7746,,
El Dorado,2020,Female,8317,,
El Dorado,2020,Male,7209,,
El Dorado,2020,"Unknown, Invalid",2,,
El Dorado,2021,Female,8464,,
El Dorado,2021,Male,7467,,
El Dorado,2021,"Unknown, Invalid",2,,
El Dorado,2022,Female,8405,,
El Dorado,2022,Male,7270,,
El Dorado,2022,"Unknown, Invalid",1,,
El Dorado,2023,Female,8270,,
El Dorado,2023,Male,7387,,
El Dorado,2023,"Unknown, Invalid",1,,
Fresno,2012,Female,62856,,
Fresno,2012,Male,42868,,
Fresno,2012,"Other, Unknown, Invalid",3,,
Fresno,2013,Female,62314,,
Fresno,2013,Male,42612,,
Fresno,2013,"Other, Unknown, Invalid",2,,
Fresno,2014,Female,61582,,
Fresno,2014,Male,42111,,
Fresno,2014,"Other, Unknown, Invalid",3,,
Fresno,2015,Female,61258,,
Fresno,2015,Male,43472,,
Fresno,2015,"Other, Unknown, Invalid",3,,
Fresno,2016,Female,61179,,
Fresno,2016,Male,44154,,
Fresno,2016,"Other, Unknown, Invalid",9,,
Fresno,2017,Female,60691,,
Fresno,2017,Male,43869,,
Fresno,2017,"Unknown, Invalid",2,,
Fresno,2018,Female,60284,,
Fresno,2018,Male,43616,,
Fresno,2018,"Unknown, Invalid",2,,
Fresno,2019,Female,58845,,
Fresno,2019,Male,43449,,
Fresno,2020,Female,54944,,
Fresno,2020,Male,41663,,
Fresno,2020,"Unknown, Invalid",5,,
Fresno,2021,Female,57862,,
Fresno,2021,Male,42905,,
Fresno,2021,"Unknown, Invalid",3,,
Fresno,2022,Female,59361,,
Fresno,2022,Male,43932,,
Fresno,2022,"Unknown, Invalid",3,,
Fresno,2023,Female,57641,,
Fresno,2023,Male,44963,,
Fresno,2023,"Unknown, Invalid",12,,
Glenn,2012,Female,1835,,
Glenn,2012,Male,1338,,
Glenn,2013,Female,1763,,
Glenn,2013,Male,1307,,
Glenn,2014,Female,1993,,
Glenn,2014,Male,1447,,
